ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_electric-from-grid-de[kWh];i_coating-material[kg];i_coating-material-waste[kg]
e_coat_69;2023-04-03 08:04:26;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_73;2023-04-03 08:04:27;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_67;2023-04-03 08:04:34;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_71;2023-04-03 08:04:36;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_78;2023-04-03 08:04:40;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_74;2023-04-03 08:04:40;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_77;2023-04-03 08:04:41;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_75;2023-04-03 08:04:45;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_76;2023-04-03 08:04:50;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_80;2023-04-03 08:05:03;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_81;2023-04-03 08:05:13;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_85;2023-04-03 08:05:23;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_82;2023-04-03 08:05:36;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_79;2023-04-03 08:05:40;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_83;2023-04-03 08:05:49;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_84;2023-04-03 08:05:52;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_86;2023-04-03 08:05:59;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_88;2023-04-03 08:06:03;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_89;2023-04-03 08:06:05;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_94;2023-04-03 08:06:15;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_96;2023-04-03 08:06:32;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_91;2023-04-03 08:06:38;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_95;2023-04-03 08:06:38;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_93;2023-04-03 08:06:42;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_92;2023-04-03 08:06:48;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_99;2023-04-03 08:06:51;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_100;2023-04-03 08:06:58;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_90;2023-04-03 08:07:01;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_97;2023-04-03 08:07:11;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_98;2023-04-03 08:07:24;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_87;2023-04-03 08:07:28;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_103;2023-04-03 08:07:49;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_106;2023-04-03 08:07:57;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_102;2023-04-03 08:07:58;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_107;2023-04-03 08:07:58;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_105;2023-04-03 08:08:02;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_104;2023-04-03 08:08:10;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_101;2023-04-03 08:08:10;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_110;2023-04-03 08:08:11;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_109;2023-04-03 08:08:11;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_108;2023-04-03 08:08:21;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_112;2023-04-03 08:08:28;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_113;2023-04-03 08:08:34;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_117;2023-04-03 08:08:49;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_114;2023-04-03 08:08:52;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_119;2023-04-03 08:09:22;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_115;2023-04-03 08:09:23;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_111;2023-04-03 08:09:28;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_121;2023-04-03 08:09:40;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_126;2023-04-03 08:09:53;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_124;2023-04-03 08:09:55;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_118;2023-04-03 08:09:55;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_123;2023-04-03 08:10:01;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_122;2023-04-03 08:10:03;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_120;2023-04-03 08:10:07;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_125;2023-04-03 08:10:13;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_116;2023-04-03 08:10:14;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_128;2023-04-03 08:10:27;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_130;2023-04-03 08:10:31;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_129;2023-04-03 08:10:37;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_136;2023-04-03 08:10:55;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_135;2023-04-03 08:11:10;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_141;2023-04-03 08:11:17;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_127;2023-04-03 08:11:22;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_131;2023-04-03 08:11:23;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_138;2023-04-03 08:11:27;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_133;2023-04-03 08:11:30;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_142;2023-04-03 08:11:46;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_132;2023-04-03 08:11:48;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_139;2023-04-03 08:11:49;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_140;2023-04-03 08:11:54;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_137;2023-04-03 08:11:55;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_143;2023-04-03 08:11:57;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_144;2023-04-03 08:12:11;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_134;2023-04-03 08:12:13;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_151;2023-04-03 08:12:23;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_148;2023-04-03 08:12:23;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_150;2023-04-03 08:12:32;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_147;2023-04-03 08:12:43;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_146;2023-04-03 08:12:46;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_145;2023-04-03 08:12:52;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_154;2023-04-03 08:12:56;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_153;2023-04-03 08:13:01;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_149;2023-04-03 08:13:08;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_155;2023-04-03 08:13:15;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_156;2023-04-03 08:13:37;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_157;2023-04-03 08:13:38;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_152;2023-04-03 08:13:46;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_165;2023-04-03 08:13:56;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_158;2023-04-03 08:14:01;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_160;2023-04-03 08:14:04;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_161;2023-04-03 08:14:09;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_163;2023-04-03 08:14:10;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_159;2023-04-03 08:14:25;300.0;0.1751156951;0.25;0.0004;0.0001
