ocel_id;ocel_type
o_steelpin_198;SteelPin
o_steelpin_199;SteelPin
o_steelpin_200;SteelPin
o_steelpin_201;SteelPin
o_steelpin_202;SteelPin
o_steelpin_203;SteelPin
o_steelpin_204;SteelPin
o_steelpin_205;SteelPin
o_steelpin_206;SteelPin
o_steelpin_207;SteelPin
o_steelpin_208;SteelPin
o_steelpin_209;SteelPin
o_steelpin_210;SteelPin
o_steelpin_211;SteelPin
o_steelpin_212;SteelPin
o_steelpin_213;SteelPin
o_steelpin_214;SteelPin
o_steelpin_215;SteelPin
o_steelpin_216;SteelPin
o_steelpin_217;SteelPin
o_steelpin_218;SteelPin
o_steelpin_219;SteelPin
o_steelpin_220;SteelPin
o_steelpin_221;SteelPin
o_steelpin_222;SteelPin
o_steelpin_223;SteelPin
o_steelpin_224;SteelPin
o_steelpin_225;SteelPin
o_steelpin_226;SteelPin
o_steelpin_227;SteelPin
o_steelpin_228;SteelPin
o_steelpin_229;SteelPin
o_steelpin_230;SteelPin
o_steelpin_231;SteelPin
o_steelpin_232;SteelPin
o_steelpin_233;SteelPin
o_steelpin_234;SteelPin
o_steelpin_235;SteelPin
o_steelpin_236;SteelPin
o_steelpin_237;SteelPin
o_steelpin_238;SteelPin
o_steelpin_239;SteelPin
o_steelpin_240;SteelPin
o_steelpin_241;SteelPin
o_steelpin_242;SteelPin
o_steelpin_243;SteelPin
o_steelpin_244;SteelPin
o_steelpin_245;SteelPin
o_steelpin_246;SteelPin
o_steelpin_247;SteelPin
o_steelpin_248;SteelPin
o_steelpin_249;SteelPin
o_steelpin_250;SteelPin
o_steelpin_251;SteelPin
o_steelpin_252;SteelPin
o_steelpin_253;SteelPin
o_steelpin_254;SteelPin
o_steelpin_255;SteelPin
o_steelpin_256;SteelPin
o_steelpin_257;SteelPin
o_steelpin_258;SteelPin
o_steelpin_259;SteelPin
o_steelpin_260;SteelPin
o_steelpin_261;SteelPin
o_steelpin_262;SteelPin
o_steelpin_263;SteelPin
o_steelpin_264;SteelPin
o_steelpin_265;SteelPin
o_steelpin_266;SteelPin
o_steelpin_267;SteelPin
o_steelpin_268;SteelPin
o_steelpin_269;SteelPin
o_steelpin_270;SteelPin
o_steelpin_271;SteelPin
o_steelpin_272;SteelPin
o_steelpin_273;SteelPin
o_steelpin_274;SteelPin
o_steelpin_275;SteelPin
o_steelpin_276;SteelPin
o_steelpin_277;SteelPin
o_steelpin_278;SteelPin
o_steelpin_279;SteelPin
o_steelpin_280;SteelPin
o_steelpin_281;SteelPin
o_steelpin_282;SteelPin
o_steelpin_283;SteelPin
o_steelpin_284;SteelPin
o_steelpin_285;SteelPin
o_steelpin_286;SteelPin
o_steelpin_287;SteelPin
o_steelpin_288;SteelPin
o_steelpin_289;SteelPin
o_steelpin_290;SteelPin
o_steelpin_291;SteelPin
o_steelpin_292;SteelPin
o_steelpin_293;SteelPin
o_steelpin_294;SteelPin
o_steelpin_295;SteelPin
o_steelpin_296;SteelPin
o_steelpin_297;SteelPin
o_steelpin_298;SteelPin
o_steelpin_299;SteelPin
o_steelpin_300;SteelPin
o_steelpin_301;SteelPin
o_steelpin_302;SteelPin
o_steelpin_303;SteelPin
o_steelpin_304;SteelPin
o_steelpin_305;SteelPin
o_steelpin_306;SteelPin
o_steelpin_307;SteelPin
o_steelpin_308;SteelPin
o_steelpin_309;SteelPin
o_steelpin_310;SteelPin
o_steelpin_311;SteelPin
o_steelpin_312;SteelPin
o_steelpin_313;SteelPin
o_steelpin_314;SteelPin
o_steelpin_315;SteelPin
o_steelpin_316;SteelPin
o_steelpin_317;SteelPin
o_steelpin_318;SteelPin
o_steelpin_319;SteelPin
o_steelpin_320;SteelPin
o_steelpin_321;SteelPin
o_steelpin_322;SteelPin
o_steelpin_323;SteelPin
o_steelpin_324;SteelPin
o_steelpin_325;SteelPin
o_steelpin_326;SteelPin
o_steelpin_327;SteelPin
o_steelpin_328;SteelPin
o_steelpin_329;SteelPin
o_steelpin_330;SteelPin
o_steelpin_331;SteelPin
o_steelpin_332;SteelPin
o_steelpin_333;SteelPin
o_steelpin_334;SteelPin
o_steelpin_335;SteelPin
o_steelpin_336;SteelPin
o_steelpin_337;SteelPin
o_steelpin_338;SteelPin
o_steelpin_339;SteelPin
o_steelpin_340;SteelPin
o_steelpin_341;SteelPin
o_steelpin_342;SteelPin
o_steelpin_343;SteelPin
o_steelpin_344;SteelPin
o_steelpin_345;SteelPin
o_steelpin_346;SteelPin
o_steelpin_347;SteelPin
o_steelpin_348;SteelPin
o_steelpin_349;SteelPin
o_steelpin_350;SteelPin
o_steelpin_351;SteelPin
o_steelpin_352;SteelPin
