ocel_id;ocel_time;p_duration[s]
e_moveparts_201;2023-04-03 08:41:27;900.0
e_moveparts_395;2023-04-03 09:28:22;900.0
e_moveparts_604;2023-04-03 10:16:17;900.0
e_moveparts_805;2023-04-03 11:03:41;900.0
e_moveparts_1005;2023-04-03 11:52:05;900.0
e_moveparts_1206;2023-04-03 13:07:22;900.0
e_moveparts_1218;2023-04-03 13:28:02;900.0
e_moveparts_1606;2023-04-04 08:31:14;900.0
e_moveparts_1812;2023-04-04 09:11:06;900.0
e_moveparts_2003;2023-04-04 09:58:29;900.0
e_moveparts_2212;2023-04-04 10:46:50;900.0
e_moveparts_2415;2023-04-04 11:34:18;900.0
e_moveparts_2615;2023-04-04 13:07:26;900.0
e_moveparts_2716;2023-04-04 13:28:53;900.0
e_moveparts_3016;2023-04-05 08:24:03;900.0
e_moveparts_3213;2023-04-05 08:54:09;900.0
e_moveparts_3420;2023-04-05 09:42:22;900.0
e_moveparts_3617;2023-04-05 10:29:50;900.0
e_moveparts_3815;2023-04-05 11:17:09;900.0
e_moveparts_4016;2023-04-05 12:04:36;900.0
e_moveparts_4219;2023-04-05 13:07:31;900.0
e_moveparts_4420;2023-04-05 13:40:21;900.0
e_moveparts_4622;2023-04-06 08:38:43;900.0
e_moveparts_4823;2023-04-06 09:24:52;900.0
e_moveparts_5021;2023-04-06 10:12:57;900.0
e_moveparts_5226;2023-04-06 11:00:46;900.0
e_moveparts_5426;2023-04-06 11:48:41;900.0
e_moveparts_5632;2023-04-06 13:07:29;900.0
e_moveparts_5713;2023-04-06 13:27:58;900.0
