ocel_id;ocel_time;ocel_changed_field;p_mass[kg];p_material[EN10130:2006];i_material-steel-pin[kg];s_co2e[kg]
o_steelpin_79;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_80;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_81;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_82;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_83;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_84;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_85;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_86;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_87;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_88;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_89;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_90;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_91;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_92;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_93;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_94;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_95;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_96;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_97;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_98;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_99;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_100;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_101;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_102;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_103;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_104;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_105;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_106;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_107;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_108;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_109;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_110;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_111;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_112;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_113;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_114;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_115;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_116;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_117;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_118;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_119;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_120;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_121;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_122;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_123;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_124;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_125;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_126;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_127;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_128;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_129;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_130;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_131;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_132;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_133;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_134;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_135;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_136;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_137;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_138;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_139;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_140;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_141;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_142;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_143;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_144;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_145;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_146;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_147;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_148;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_149;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_150;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_151;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_152;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_153;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_154;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_155;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_156;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_157;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_158;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_159;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_160;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_161;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_162;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_163;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_164;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_165;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_166;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_167;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_168;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_169;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_170;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_171;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_172;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_173;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_174;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_175;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_176;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_177;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_178;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_179;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_180;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_181;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_182;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_183;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_184;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_185;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_186;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_187;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_188;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_189;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_190;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_191;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_192;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_193;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_194;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_195;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_196;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_197;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_198;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_199;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_200;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_201;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_202;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_203;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_204;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_205;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_206;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_207;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_208;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_209;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_210;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_211;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_212;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_213;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_214;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_215;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_216;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_217;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_218;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_219;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_220;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_221;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_222;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_223;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_224;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_225;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_226;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_227;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_228;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_229;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_230;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_231;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_232;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_233;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_234;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_235;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_236;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_237;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_238;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_239;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_240;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_241;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_242;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_243;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_244;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_245;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_246;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_247;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_248;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_249;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_250;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_251;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_252;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_253;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_254;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_255;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_256;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_257;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_258;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_259;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_260;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_261;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_262;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_263;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_264;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_265;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_266;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_267;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_268;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_269;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_270;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_271;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_272;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_273;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_274;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_275;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_276;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_277;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_278;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_279;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_280;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_281;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_282;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_283;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_284;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_285;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_286;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_287;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_288;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_289;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_290;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_291;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_292;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_293;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_294;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_295;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_296;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_297;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_298;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_299;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_300;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_301;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_302;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_303;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_304;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_305;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_306;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_307;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_308;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_309;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_310;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_311;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_312;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_313;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_314;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_315;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_316;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_317;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_318;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_319;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_320;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_321;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_322;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_323;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_324;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_325;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_326;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_327;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_328;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_329;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_330;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_331;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_332;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_333;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_334;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_335;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_336;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_337;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_338;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_339;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_340;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
