ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_compressed-air[m3]
e_checkFemale_221>true;2023-04-03 09:49:07;?;0.00266418;0.041
e_checkFemale_157>true;2023-04-03 09:49:17;?;0.00168948;0.026
e_checkFemale_66>true;2023-04-03 09:49:27;?;0.0016245;0.025
e_checkFemale_127>true;2023-04-03 09:49:49;?;0.0006498;0.01
e_checkFemale_176>true;2023-04-03 09:50:30;?;0.0022743;0.035
e_checkFemale_33>true;2023-04-03 09:50:40;?;0.00142956;0.022
e_checkFemale_126>true;2023-04-03 09:51:32;?;0.00136458;0.021
e_checkFemale_15>true;2023-04-03 09:51:43;?;0.0009747;0.015
e_checkFemale_180>true;2023-04-03 09:51:54;?;0.00142956;0.022
e_checkFemale_251>true;2023-04-03 09:52:04;?;0.00279414;0.043
e_checkFemale_235>true;2023-04-03 09:52:36;?;0.00136458;0.021
e_checkFemale_147>true;2023-04-03 09:52:46;?;0.00110466;0.017
e_checkFemale_359>true;2023-04-03 09:52:57;?;0.00214434;0.033
e_checkFemale_358>true;2023-04-03 09:53:29;?;0.00155952;0.024
e_checkFemale_7>true;2023-04-03 09:53:39;?;0.0006498;0.01
e_checkFemale_231>true;2023-04-03 09:54:00;?;0.0009747;0.015
e_checkFemale_184>true;2023-04-03 09:54:11;?;0.00136458;0.021
e_checkFemale_386>true;2023-04-03 09:54:32;?;0.00025992;0.004
e_checkFemale_193>true;2023-04-03 09:55:03;?;0.00207936;0.032
e_checkFemale_71>true;2023-04-03 09:55:14;?;0.00175446;0.027
e_checkFemale_228>true;2023-04-03 09:56:07;?;0.00110466;0.017
e_checkFemale_22>true;2023-04-03 09:56:17;?;0.00090972;0.014
e_checkFemale_204>true;2023-04-03 09:56:28;?;0.00201438;0.031
e_checkFemale_264>true;2023-04-03 09:56:59;?;0.0003249;0.005
e_checkFemale_341>true;2023-04-03 09:57:10;?;0.00071478;0.011
e_checkFemale_139>true;2023-04-03 09:57:42;?;0.00123462;0.019
e_checkFemale_226>true;2023-04-03 09:57:52;?;0.00045486;0.007
e_checkFemale_286>true;2023-04-03 09:58:24;?;0.00168948;0.026
e_checkFemale_384>true;2023-04-03 09:58:35;?;0.00266418;0.041
e_checkFemale_335>true;2023-04-03 09:58:46;?;0.00220932;0.034
e_checkFemale_263>true;2023-04-03 09:59:17;?;0.00038988;0.006
e_checkFemale_311>true;2023-04-03 09:59:38;?;0.00116964;0.018
e_checkFemale_310>true;2023-04-03 09:59:49;?;0.00116964;0.018
e_checkFemale_307>true;2023-04-03 10:00:09;?;0.00012996;0.002
e_checkFemale_318>true;2023-04-03 10:01:02;?;0.00116964;0.018
e_checkFemale_383>true;2023-04-03 10:01:12;?;0.0016245;0.025
e_checkFemale_401>true;2023-04-03 10:01:23;?;6.498E~05;0.001
e_checkFemale_333>true;2023-04-03 10:02:04;?;0.0009747;0.015
e_checkFemale_289>true;2023-04-03 10:02:56;?;0.00077976;0.012
e_checkFemale_308>true;2023-04-03 10:03:07;?;0.00188442;0.029
e_checkFemale_237>true;2023-04-03 10:03:50;?;0.00084474;0.013
e_checkFemale_360>true;2023-04-03 10:04:00;?;0.00168948;0.026
e_checkFemale_372>true;2023-04-03 10:04:11;?;0.00116964;0.018
e_checkFemale_217>true;2023-04-03 10:04:21;?;0.00084474;0.013
e_checkFemale_342>true;2023-04-03 10:04:52;?;0.00058482;0.009
e_checkFemale_239>true;2023-04-03 10:05:03;?;0.00025992;0.004
e_checkFemale_346>true;2023-04-03 10:05:24;?;0.00188442;0.029
e_checkFemale_245>true;2023-04-03 10:05:35;?;0.00233928;0.036
e_checkFemale_271>true;2023-04-03 10:05:55;?;0.0006498;0.01
e_checkFemale_332>true;2023-04-03 10:06:05;?;0.0016245;0.025
e_checkFemale_208>true;2023-04-03 10:06:16;?;0.00103968;0.016
e_checkFemale_55>true;2023-04-03 10:06:47;?;0.0019494;0.03
e_checkFemale_159>true;2023-04-03 10:06:57;?;0.00058482;0.009
e_checkFemale_203>true;2023-04-03 10:07:08;?;0.0009747;0.015
e_checkFemale_338>true;2023-04-03 10:07:40;?;0.0003249;0.005
e_checkFemale_368>true;2023-04-03 10:08:01;?;0.00084474;0.013
e_checkFemale_85>true;2023-04-03 10:08:11;?;0.00058482;0.009
e_checkFemale_397>true;2023-04-03 10:08:42;?;0.00136458;0.021
e_checkFemale_325>true;2023-04-03 10:09:03;?;0.00214434;0.033
e_checkFemale_398>true;2023-04-03 10:09:14;?;0.00142956;0.022
e_checkFemale_387>true;2023-04-03 10:09:24;?;0.00246924;0.038
e_checkFemale_309>true;2023-04-03 10:30:12;?;0.00116964;0.018
e_checkFemale_371>true;2023-04-03 10:30:23;?;0.00058482;0.009
e_checkFemale_266>true;2023-04-03 10:30:54;?;0.00103968;0.016
e_checkFemale_369>true;2023-04-03 10:31:14;?;0.0009747;0.015
e_checkFemale_238>true;2023-04-03 10:31:24;?;0.0012996;0.02
e_checkFemale_380>true;2023-04-03 10:31:35;?;0.00071478;0.011
e_checkFemale_370>true;2023-04-03 10:31:46;?;0.00155952;0.024
e_checkFemale_260>true;2023-04-03 10:31:56;?;0.00116964;0.018
e_checkFemale_317>true;2023-04-03 10:32:07;?;0.00116964;0.018
e_checkFemale_343>true;2023-04-03 10:32:17;?;0.0003249;0.005
e_checkFemale_218>true;2023-04-03 10:32:49;?;0.0016245;0.025
e_checkFemale_334>true;2023-04-03 10:33:21;?;0.00175446;0.027
e_checkFemale_295>true;2023-04-03 10:33:41;?;0.00168948;0.026
e_checkFemale_504>true;2023-04-03 10:33:52;?;0.00181944;0.028
e_checkFemale_197>true;2023-04-03 10:34:03;?;0.00051984;0.008
e_checkFemale_252>true;2023-04-03 10:34:13;?;0.00188442;0.029
e_checkFemale_602>true;2023-04-03 10:34:44;?;0.00058482;0.009
e_checkFemale_381>true;2023-04-03 10:34:55;?;0.00090972;0.014
e_checkFemale_399>true;2023-04-03 10:35:16;?;0.00142956;0.022
e_checkFemale_430>true;2023-04-03 10:35:26;?;0.0009747;0.015
e_checkFemale_323>true;2023-04-03 10:35:37;?;0.00103968;0.016
e_checkFemale_590>true;2023-04-03 10:35:48;?;0.00038988;0.006
e_checkFemale_348>true;2023-04-03 10:35:59;?;0.00090972;0.014
e_checkFemale_331>true;2023-04-03 10:36:30;?;0.00136458;0.021
e_checkFemale_327>true;2023-04-03 10:37:01;?;0.00077976;0.012
e_checkFemale_207>true;2023-04-03 10:37:23;?;0.0012996;0.02
e_checkFemale_487>true;2023-04-03 10:37:33;?;0.00220932;0.034
e_checkFemale_391>true;2023-04-03 10:38:04;?;0.00090972;0.014
e_checkFemale_275>true;2023-04-03 10:38:14;?;0.00084474;0.013
e_checkFemale_262>true;2023-04-03 10:38:25;?;0.00058482;0.009
e_checkFemale_315>true;2023-04-03 10:38:35;?;0.00155952;0.024
e_checkFemale_547>true;2023-04-03 10:38:56;?;0.00240426;0.037
e_checkFemale_270>true;2023-04-03 10:39:18;?;0.00175446;0.027
e_checkFemale_553>true;2023-04-03 10:39:39;?;0.00136458;0.021
e_checkFemale_506>true;2023-04-03 10:39:49;?;0.00155952;0.024
e_checkFemale_223>true;2023-04-03 10:40:00;?;0.0006498;0.01
e_checkFemale_216>true;2023-04-03 10:40:11;?;0.00116964;0.018
e_checkFemale_365>true;2023-04-03 10:40:31;?;0.00116964;0.018
e_checkFemale_225>true;2023-04-03 10:40:41;?;0.0009747;0.015
e_checkFemale_443>true;2023-04-03 10:41:13;?;0.0012996;0.02
e_checkFemale_329>true;2023-04-03 10:41:23;?;0.0012996;0.02
e_checkFemale_248>true;2023-04-03 10:41:33;?;0.0012996;0.02
e_checkFemale_316>false;2023-04-03 10:41:54;?;0.00103968;0.016
e_checkFemale_219>true;2023-04-03 10:42:04;?;0.00168948;0.026
e_checkFemale_558>true;2023-04-03 10:42:14;?;0.00058482;0.009
e_checkFemale_306>true;2023-04-03 10:42:25;?;0.00071478;0.011
e_checkFemale_215>true;2023-04-03 10:42:46;?;0.00071478;0.011
e_checkFemale_324>true;2023-04-03 10:42:56;?;0.00110466;0.017
e_checkFemale_187>true;2023-04-03 10:43:06;?;0.0003249;0.005
e_checkFemale_277>true;2023-04-03 10:43:17;?;0.00149454;0.023
e_checkFemale_254>true;2023-04-03 10:43:38;?;0.00090972;0.014
e_checkFemale_589>true;2023-04-03 10:43:59;?;0.00103968;0.016
e_checkFemale_448>true;2023-04-03 10:45:21;?;0.0012996;0.02
e_checkFemale_434>true;2023-04-03 10:45:32;?;0.00168948;0.026
e_checkFemale_449>true;2023-04-03 10:45:43;?;0.00045486;0.007
e_checkFemale_287>true;2023-04-03 10:45:54;?;0.00110466;0.017
e_checkFemale_549>true;2023-04-03 10:46:45;?;0.00116964;0.018
e_checkFemale_536>true;2023-04-03 10:47:06;?;0.00155952;0.024
e_checkFemale_594>true;2023-04-03 10:47:17;?;0.00110466;0.017
e_checkFemale_439>true;2023-04-03 10:47:27;?;0.0019494;0.03
e_checkFemale_298>true;2023-04-03 10:47:38;?;0.00025992;0.004
e_checkFemale_313>true;2023-04-03 10:47:59;?;0.00181944;0.028
e_checkFemale_538>true;2023-04-03 10:48:20;?;0.00116964;0.018
e_checkFemale_596>true;2023-04-03 10:48:30;?;0.00233928;0.036
e_checkFemale_466>true;2023-04-03 10:48:51;?;0.0009747;0.015
e_checkFemale_532>true;2023-04-03 10:49:12;?;0.0019494;0.03
e_checkFemale_356>true;2023-04-03 10:49:33;?;0.00110466;0.017
e_checkFemale_396>true;2023-04-03 10:49:44;?;0.00045486;0.007
e_checkFemale_534>true;2023-04-03 10:50:05;?;0.00266418;0.041
e_checkFemale_408>true;2023-04-03 10:50:15;?;0.0019494;0.03
e_checkFemale_582>true;2023-04-03 10:50:36;?;0.0003249;0.005
e_checkFemale_431>true;2023-04-03 10:50:47;?;0.00110466;0.017
e_checkFemale_523>true;2023-04-03 10:52:22;?;0.00181944;0.028
e_checkFemale_234>true;2023-04-03 10:52:32;?;0.0006498;0.01
e_checkFemale_242>true;2023-04-03 10:52:42;?;0.00077976;0.012
e_checkFemale_588>true;2023-04-03 10:53:03;?;0.00201438;0.031
e_checkFemale_349>true;2023-04-03 10:53:14;?;0.00136458;0.021
e_checkFemale_583>true;2023-04-03 10:53:24;?;0.00246924;0.038
e_checkFemale_579>true;2023-04-03 10:53:44;?;0.0019494;0.03
e_checkFemale_499>true;2023-04-03 10:53:55;?;0.00123462;0.019
e_checkFemale_492>true;2023-04-03 10:54:16;?;0.00084474;0.013
e_checkFemale_557>true;2023-04-03 10:54:27;?;0.00246924;0.038
e_checkFemale_230>true;2023-04-03 10:54:58;?;0.00090972;0.014
e_checkFemale_457>true;2023-04-03 10:55:19;?;0.00110466;0.017
e_checkFemale_544>true;2023-04-03 10:56:01;?;0.0009747;0.015
e_checkFemale_500>true;2023-04-03 10:56:22;?;0.0003249;0.005
e_checkFemale_497>true;2023-04-03 10:56:32;?;0.00142956;0.022
e_checkFemale_463>true;2023-04-03 10:56:53;?;0.0012996;0.02
e_checkFemale_567>true;2023-04-03 10:57:03;?;0.00175446;0.027
e_checkFemale_438>true;2023-04-03 11:17:42;?;0.00136458;0.021
e_checkFemale_321>true;2023-04-03 11:17:52;?;0.00058482;0.009
e_checkFemale_601>true;2023-04-03 11:18:23;?;0.00149454;0.023
e_checkFemale_528>true;2023-04-03 11:19:05;?;0.00136458;0.021
e_checkFemale_566>true;2023-04-03 11:19:27;?;0.00038988;0.006
e_checkFemale_468>true;2023-04-03 11:19:58;?;0.00175446;0.027
e_checkFemale_548>true;2023-04-03 11:20:09;?;0.00233928;0.036
e_checkFemale_648>true;2023-04-03 11:20:20;?;0.00090972;0.014
e_checkFemale_603>true;2023-04-03 11:20:40;?;0.00058482;0.009
e_checkFemale_467>true;2023-04-03 11:20:51;?;0.00142956;0.022
e_checkFemale_587>true;2023-04-03 11:21:12;?;0.00051984;0.008
e_checkFemale_451>true;2023-04-03 11:21:22;?;0.00155952;0.024
e_checkFemale_402>true;2023-04-03 11:22:04;?;0.00058482;0.009
e_checkFemale_751>true;2023-04-03 11:22:25;?;0.0006498;0.01
e_checkFemale_530>true;2023-04-03 11:22:35;?;0.00155952;0.024
e_checkFemale_404>true;2023-04-03 11:22:56;?;0.00136458;0.021
e_checkFemale_599>true;2023-04-03 11:23:06;?;0.00045486;0.007
e_checkFemale_484>true;2023-04-03 11:23:16;?;0.0012996;0.02
e_checkFemale_576>true;2023-04-03 11:23:26;?;6.498E~05;0.001
e_checkFemale_794>true;2023-04-03 11:23:37;?;0.0019494;0.03
e_checkFemale_577>true;2023-04-03 11:23:47;?;6.498E~05;0.001
e_checkFemale_214>true;2023-04-03 11:24:08;?;0.00051984;0.008
e_checkFemale_442>true;2023-04-03 11:24:19;?;0.00045486;0.007
e_checkFemale_766>true;2023-04-03 11:24:30;?;0.00090972;0.014
e_checkFemale_705>true;2023-04-03 11:24:40;?;0.00201438;0.031
e_checkFemale_437>true;2023-04-03 11:24:50;?;0.00142956;0.022
e_checkFemale_450>true;2023-04-03 11:25:00;?;0.00090972;0.014
e_checkFemale_513>true;2023-04-03 11:25:31;?;0.00168948;0.026
e_checkFemale_415>true;2023-04-03 11:25:41;?;0.00071478;0.011
e_checkFemale_481>true;2023-04-03 11:25:52;?;0.00136458;0.021
e_checkFemale_529>true;2023-04-03 11:26:02;?;0.00155952;0.024
e_checkFemale_597>true;2023-04-03 11:26:12;?;0.00123462;0.019
e_checkFemale_561>true;2023-04-03 11:26:33;?;0.00123462;0.019
e_checkFemale_515>true;2023-04-03 11:26:44;?;0.00201438;0.031
e_checkFemale_537>true;2023-04-03 11:26:55;?;0.00110466;0.017
e_checkFemale_429>true;2023-04-03 11:27:06;?;0.00142956;0.022
e_checkFemale_511>true;2023-04-03 11:27:27;?;0.0012996;0.02
e_checkFemale_464>true;2023-04-03 11:27:48;?;0.0025992;0.04
e_checkFemale_320>true;2023-04-03 11:27:59;?;0.00110466;0.017
e_checkFemale_741>true;2023-04-03 11:28:20;?;0.00045486;0.007
e_checkFemale_570>true;2023-04-03 11:28:30;?;0.00116964;0.018
e_checkFemale_480>true;2023-04-03 11:28:41;?;0.00175446;0.027
e_checkFemale_738>true;2023-04-03 11:28:52;?;0.00103968;0.016
e_checkFemale_297>true;2023-04-03 11:29:02;?;0.00051984;0.008
e_checkFemale_660>true;2023-04-03 11:29:12;?;0.0006498;0.01
e_checkFemale_581>true;2023-04-03 11:30:25;?;0.00155952;0.024
e_checkFemale_789>true;2023-04-03 11:30:36;?;0.00084474;0.013
e_checkFemale_786>true;2023-04-03 11:31:17;?;0.00103968;0.016
e_checkFemale_629>true;2023-04-03 11:31:28;?;0.00123462;0.019
e_checkFemale_419>true;2023-04-03 11:31:49;?;0.00233928;0.036
e_checkFemale_646>true;2023-04-03 11:32:20;?;0.00207936;0.032
e_checkFemale_682>true;2023-04-03 11:32:40;?;0.00116964;0.018
e_checkFemale_420>true;2023-04-03 11:33:02;?;0.00214434;0.033
e_checkFemale_764>true;2023-04-03 11:33:13;?;0.00123462;0.019
e_checkFemale_689>true;2023-04-03 11:33:23;?;0.0016245;0.025
e_checkFemale_747>true;2023-04-03 11:33:44;?;0.00103968;0.016
e_checkFemale_634>true;2023-04-03 11:33:54;?;0.0003249;0.005
e_checkFemale_456>true;2023-04-03 11:34:05;?;0.0012996;0.02
e_checkFemale_775>true;2023-04-03 11:35:18;?;0.00110466;0.017
e_checkFemale_630>true;2023-04-03 11:35:39;?;0.0016245;0.025
e_checkFemale_686>true;2023-04-03 11:35:59;?;0.0006498;0.01
e_checkFemale_694>true;2023-04-03 11:36:10;?;0.0016245;0.025
e_checkFemale_672>true;2023-04-03 11:36:51;?;0.00090972;0.014
e_checkFemale_471>true;2023-04-03 11:37:01;?;0.00207936;0.032
e_checkFemale_667>true;2023-04-03 11:37:12;?;0.00090972;0.014
e_checkFemale_722>true;2023-04-03 11:37:22;?;0.00201438;0.031
e_checkFemale_543>true;2023-04-03 11:37:43;?;0.00240426;0.037
e_checkFemale_485>true;2023-04-03 11:38:04;?;0.00051984;0.008
e_checkFemale_423>true;2023-04-03 11:38:14;?;0.0006498;0.01
e_checkFemale_573>true;2023-04-03 11:38:25;?;0.00071478;0.011
e_checkFemale_502>true;2023-04-03 11:39:07;?;0.00103968;0.016
e_checkFemale_668>true;2023-04-03 11:39:17;?;0.00188442;0.029
e_checkFemale_749>true;2023-04-03 11:40:09;?;0.00142956;0.022
